ITEM_NUM;ID_PRO;ID_NOTA;ID_SEC;QTD_PRO;PRE_UNIT;TOTAL_ITEM;EST_LIN
1;17;2271;1;40;14,9;596;0
1;17;2987;1;20;18,9;378;0
1;68;2605;3;40;2,96;118,4;0
1;86;1231;1;7;4,5;31,5;0
1;100;2592;6;60;7,5;450;0
1;203;2659;4;12;25;300;0
1;211;2919;3;1300;1;1300;0
1;212;2892;3;265;3,18;842,7;0
1;213;2853;3;50;5,99;299,5;0
1;213;2877;3;30;5,99;179,7;0
1;217;2825;3;10;2,48;24,8;0
1;217;2826;3;10;2,48;24,8;0
1;217;2827;3;10;2,48;24,8;0
1;217;2891;3;10;2,48;24,8;0
1;217;2927;3;10;2,48;24,8;0
1;230;2267;3;4;75;300;0
1;233;2857;3;3;7;21;0
1;298;2290;3;1;3300;3300;0
1;330;2848;6;1;2,35;2,35;0
1;331;2521;6;1;198;198;0
1;339;2264;3;2;295;590;0
1;351;2408;6;1;22;22;0
1;359;2756;3;2;40;80;0
1;367;2856;3;1;550;550;0
1;388;2723;3;1;1,7;1,7;0
1;393;2809;3;1;3;3;0
1;394;2369;3;1;198;198;0
1;429;2366;1;179;10;1790;0
1;429;2496;1;90;12;1080;0
1;429;2529;1;85;12;1020;0
1;429;2557;1;107;12;1284;0
1;432;2688;6;1;1500;1500;0
1;432;2955;3;1;3500;3500;0
1;570;2352;3;4;0,7;2,8;0
1;609;2643;1;1;25;25;0
1;613;2836;6;4;131,25;525;0
1;616;2583;3;1;90;90;0
1;629;2872;4;2;250;500;0
1;645;2286;1;5;95;475;0
1;653;2170;3;90;1,65;148,5;0
1;659;2914;3;1;126;126;0
1;681;2406;3;1;1400;1400;0
1;681;2621;3;1;150;150;0
1;792;2614;3;200;3,15;630;0
1;886;2157;6;2,5;90;225;0
1;886;2176;6;2,5;90;225;0
1;925;2808;4;2;44;88;0
1;1017;2276;6;1;149,9;149,9;0
1;1026;2801;6;1;47;47;0
1;1041;2851;6;6;110;660;0
1;1242;2520;6;1;35;35;0
1;1295;2888;3;90;2,94;264,6;0
1;1397;2813;1;3;3,19;9,57;0
1;1397;2868;1;14;3,08;43,12;0
1;1635;2463;3;1;60;60;0
1;1639;2691;4;2;45;90;0
1;1642;2498;6;1;290;290;0
1;1651;2432;6;2;110;220;0
1;1714;2395;3;100;0,34;34;0
1;1715;2906;3;50;0,7;35;0
1;1719;2415;3;200;1,8;360;0
1;1719;2439;3;200;1,8;360;0
1;1719;2440;3;200;1,8;360;0
1;1720;2926;3;10;13,96;139,6;0
1;1734;1538;4;1;40;40;0
1;1734;1539;4;3;40;120;0
1;1734;1540;4;2;40;80;0
1;1734;1541;4;1;40;40;0
1;1734;1542;4;4;40;160;0
1;1734;1544;1;3;40;120;0
1;1734;1545;1;2;40;80;0
1;1734;1563;6;2;40;80;0
1;1734;1564;6;1;40;40;0
1;1734;2061;1;2;45;90;0
1;1734;2227;6;2;47;94;0
1;1734;2235;3;1;47;47;0
1;1734;2238;4;2;47;94;0
1;1734;2240;1;4;47;188;0
1;1734;2302;4;1;47;47;0
1;1734;2353;3;25;47;1175;0
1;1734;2374;3;25;47;1175;0
1;1734;2534;3;2;52;104;0
1;1734;2535;3;25;52;1300;0
1;1734;2553;6;1;52;52;0
1;1734;2556;1;2;52;104;0
1;1734;2558;4;1;52;52;0
1;1734;2559;4;1;52;52;0
1;1734;2609;3;21;52;1092;0
1;1734;2660;4;2;52;104;0
1;1734;2673;3;28;52;1456;0
1;1734;2771;3;25;60;1500;0
1;1734;2865;1;8;60;480;0
1;1734;2869;6;3;60;180;0
1;1734;2871;4;5;60;300;0
1;1734;2875;3;6;60;360;0
1;1734;2923;3;30;60;1800;0
1;1734;2978;3;30;60;1800;0
1;1734;2986;1;3;60;180;0
1;1734;2990;6;1;60;60;0
1;1762;2850;6;3;19,5;58,5;0
1;1780;2587;1;10;150;1500;0
1;1903;2870;6;2;45;90;0
1;1909;2745;3;270;5,37;1449,9;0
1;1909;2781;3;500;5,37;2685;0
1;1909;2824;3;400;5,37;2148;0
1;1909;2855;3;400;5,37;2148;0
1;1909;2882;3;290;6,5;1885;0
1;1909;2883;3;500;6,5;3250;0
1;1909;2936;3;300;6,5;1950;0
1;1909;2937;3;300;6,5;1950;0
1;1967;2234;3;10;24,6;246;0
1;1979;2782;3;100;0,75;75;0
1;2059;2476;3;912;2,95;2690,4;0
1;2059;2540;3;901;2,95;2657,95;0
1;2059;2634;3;912;2,95;2690,4;0
