ID_CLAS;ID_SUB_GRU;NOME_CLA
197;69;HIGIENIZAÇÃO PESSOAL
198;70;SEGURANÇA
199;10;ISOPOR EM GERAL
200;71;CANUDOS
201;4;PINCÉIS
202;72;COMPONENTES
203;72;PEÇAS
204;72;ASSESSÓRIOS
205;73;CAIXA TÉRMICA
206;74;PEÇAS DE REPOSIÇÃO
207;75;ALUMÍNIOS EM GERAL
208;42;BERMUDAS EM GERAL
209;52;JOGOS EDUCATIVOS
210;5;PORTA DUREX
211;38;CAIXA DÁGUA
212;46;FARDAMENTO ESPORTIVO
213;15;DRIVE DE DISQUETE
214;15;GRAVADOR DE CD
215;27;FARINHA
216;77;MUDAS
217;78;PLANTAS
218;76;SEMENTES
219;79;INSUMOS
220;42;CONJUNTOS BLASER EM GERAL
221;10;PILHAS E RECARREGADOR
222;42;BONÉS E OUTROS
223;38;AREIA EM GERAL
224;60;TORNEIRAS
225;73;FILTRO PARA ÁGUA
226;62;CAPAS
227;73;ACESSÓRIOS DE COPA EM GERAL
228;48;FAIXAS
229;38;BLOCOS E PEDRAS
230;48;PLACA PARA VEÍCULOS
231;4;CANETA TINTEIRO
232;14;PLACA DE VÍDEO
233;15;PROTETORES EM GERAL
234;3;PORTA CARIMBO EM GERAL
235;46;ACESSÓRIOS ESPORTIVOS EM GERAL
236;80;PRODUTOS ALIMETÍCIOS EM GERAL
237;62;COLCHÕES
238;65;CARREGADOR
239;71;PRATOS
240;22;SACOS PLÁSTICOS
241;10;PASTA EXECUTIVA
242;47;FRIOS EM GERAL
243;81;ADUBOS EM GERAL
244;32;LÍQUIDOS QUÍMICOS
245;82;GASES DE USO INDUSTRIAL
246;83;UTENSÍLIOS LABORATORIAIS
247;42;FARDAMENTO EM GERAL
248;23;23 GAS DE COZINHA GLP - 13 KG
249;76;76 FICUS
250;76;76 FICUS
251;35;FOTOGRAFIA
252;84;IMPRESSORA E FAX
253;87;CONSUMO
254;89;ALIMENTAÇAO
255;90;COMBUSTIVEL PARA VEICULO
256;91;COMBUSTIVEL PARA VEICULO
257;91;GASOLINA
258;91;ALCOOL
259;91;OLEO LUBRIFICANTE
260;92;MATERIAL DIDATICO
261;93;MATERIAL DE LIMPEZA
262;94;MANUTENÇÃO DE BICICLETA
263;95;MEDICAMENTOS
264;83;MATERIAL PARA USO ODONTOLOGICO
265;49;ILUMINAÇAO
266;54;MATERIAL PARA ILUMINAÇAO
267;96;CARTUCHOS PARA IMPRESSORAS
268;97;INFORMATICA
269;98;BOMBAS SUBMERSAS 
270;99;PNEUS
271;100;MATERIAIS DE EXPEDIENTE
272;101;MATERIAIS PARA CONSTRUÇÃO 
273;102;MATERIAIS PARA CONSTRUÇÃO
274;103;MATREIAIS PARA PINTURAS E ACESSORIOS
275;104;LAMPADAS
276;65;MATERIAL  ELETRONICO
277;102;FERRAGENS
278;102;PLASTICOS/ PVC
279;102;PISOS
280;102;ELETRICOS
281;102;MADEIRA
282;102;
283;99;PRE-MOLDADO / CIMENTO
284;102;PRE- MOLDADO/CIMENTO
285;102;TINTAS EM GERAL
286;93;VASSOURAS DIVERSAS
287;105;PEÇAS PARA BICICLETA
288;106;PEÇAS PARA BICLETA
289;75;MATERIAL PARA COZINHA
290;102;MATERIAL PRA CONSTRUÇAO EM GERAL
291;107;MATERIAL GRAFICO
292;109;MATERIAL HIDRAULICO
293;108;MATERIAL ELETRICO EM GERAL
294;102;material hidraulico
295;102;TINTAS
296;110;MATERIAL CONST. AREIA, CIMENTO
297;48;PLACA INAUGURAÇÃO
298;68;FOGOS DE ARTIFICIOS
299;68;FOLHAGENS
300;54;BOMBAS SUBMERSAS
301;111;FOGOS EM GERAL
302;1;MATERIAL EXPEDIENTE
303;104;Material eletrico
304;106;PEÇAS E REPOSIÇÃO PARA VEICULO
305;106;PEÇAS PARA VEICULO, MOTO, TRATORES
306;92;LIVROS
307;54;MATERIAL ELETRICO 
308;89;ALIMENTOS
309;112;BOMBA DÁGUA SUBMERSA
310;113;DEFENSIVOS AGRICOLAS
311;102;materiais para pintura em geral
312;80;VERDURAS
313;114;CAMA MESA E BANHO
314;115;CAMA MESA E BANHO
315;116;COMBUSTIVEL
316;116;OLEO LUBRIFICANTE
317;116;DIESEL
318;116;GASOLINA
319;116;ALCOOL
