ID_MOVI;ID_PRO;ID_SEC;ID_REQ;ID_NOTA;PRE_UNIT;QTD_PRO;SALDO;EST_ANT;TIPO_MOV;MES_MOV;ANO_MOV;DATA_MOV;ID_SET
15291;5647;1;;1239;1,99;40;40;0;0;2;2010;08/02/2010;
15292;5577;1;;1239;5;15;15;0;0;2;2010;08/02/2010;
15293;5575;1;1184;;1,99;50;0;50;-1;2;2010;08/02/2010;1
15294;5576;1;1184;;2,1;30;0;30;-1;2;2010;08/02/2010;1
15295;5578;1;1184;;2,5;25;0;25;-1;2;2010;08/02/2010;1
15296;5647;1;1184;;1,99;40;0;40;-1;2;2010;08/02/2010;1
15297;5577;1;1184;;5;15;0;15;-1;2;2010;08/02/2010;1
15298;5537;5;;1240;45;1;1;0;0;2;2010;22/02/2010;
15299;5537;5;1185;;45;1;0;1;-1;2;2010;22/02/2010;8
15300;5579;3;;1241;55,2;1;1;0;0;2;2010;08/02/2010;
15301;5579;3;1186;;55,2;1;0;1;-1;2;2010;08/02/2010;4
15302;5564;4;;1242;13,5;2;2;0;0;2;2010;19/02/2010;
15303;5565;4;;1242;11;5;5;0;0;2;2010;19/02/2010;
15304;5541;4;;1242;1;100;100;0;0;2;2010;19/02/2010;
15305;5542;4;;1242;40;1;1;0;0;2;2010;19/02/2010;
15306;5543;4;;1242;7,5;4;4;0;0;2;2010;19/02/2010;
15307;5544;4;;1242;7,5;2;2;0;0;2;2010;19/02/2010;
15308;5545;4;;1242;7,5;1;1;0;0;2;2010;19/02/2010;
15309;5546;4;;1242;4,5;10;10;0;0;2;2010;19/02/2010;
15310;5547;4;;1242;1;8;8;0;0;2;2010;19/02/2010;
15311;5548;4;;1242;1,7;14;14;0;0;2;2010;19/02/2010;
15312;5549;4;;1242;9,5;6;6;0;0;2;2010;19/02/2010;
15313;5550;4;;1242;0,5;16;16;0;0;2;2010;19/02/2010;
15314;5551;4;;1242;1,4;50;50;0;0;2;2010;19/02/2010;
15315;5552;4;;1242;0,35;50;50;0;0;2;2010;19/02/2010;
15316;5566;4;;1242;12;2;2;0;0;2;2010;19/02/2010;
15317;5553;4;;1242;6,5;2;2;0;0;2;2010;19/02/2010;
15318;5554;4;;1242;4,5;4;4;0;0;2;2010;19/02/2010;
15319;5564;4;1187;;13,5;2;0;2;-1;2;2010;19/02/2010;5
15320;5565;4;1187;;11;5;0;5;-1;2;2010;19/02/2010;5
15321;5541;4;1187;;1;100;0;100;-1;2;2010;19/02/2010;5
15322;5542;4;1187;;40;1;0;1;-1;2;2010;19/02/2010;5
15323;5543;4;1187;;7,5;4;0;4;-1;2;2010;19/02/2010;5
15324;5544;4;1187;;7,5;2;0;2;-1;2;2010;19/02/2010;5
15325;5545;4;1187;;7,5;1;0;1;-1;2;2010;19/02/2010;5
15326;5546;4;1187;;4,5;10;0;10;-1;2;2010;19/02/2010;5
15327;5547;4;1187;;1;8;0;8;-1;2;2010;19/02/2010;5
15328;5548;4;1187;;1,7;14;0;14;-1;2;2010;19/02/2010;5
15329;5549;4;1187;;9,5;6;0;6;-1;2;2010;19/02/2010;5
15330;5550;4;1187;;0,5;16;0;16;-1;2;2010;19/02/2010;5
15331;5551;4;1187;;1,4;50;0;50;-1;2;2010;19/02/2010;5
15332;5552;4;1187;;0,35;50;0;50;-1;2;2010;19/02/2010;5
15333;5566;4;1187;;12;2;0;2;-1;2;2010;19/02/2010;5
15334;5553;4;1187;;6,5;2;0;2;-1;2;2010;19/02/2010;5
15335;5554;4;1187;;4,5;4;0;4;-1;2;2010;19/02/2010;5
15336;5540;3;;1243;53,89;3;3;0;0;2;2010;01/02/2010;
15337;5540;3;1188;;53,89;3;0;3;-1;2;2010;23/02/2010;4
15338;5536;3;;1244;8,5;2105;2105;0;0;2;2010;09/02/2010;
15339;5536;3;1189;;8,5;2105;0;2105;-1;2;2010;08/02/2010;4
15340;5538;3;;1245;400;2;2;0;0;2;2010;05/02/2010;
15341;5538;3;1190;;400;2;0;2;-1;2;2010;05/02/2010;4
15342;5539;3;;1246;40;14;14;0;0;2;2010;24/02/2010;
15343;5539;3;1191;;40;14;0;14;-1;2;2010;24/02/2010;4
15344;5546;3;;1247;4,5;10;10;0;0;2;2010;19/02/2010;
15345;5547;3;;1247;1;10;10;0;0;2;2010;19/02/2010;
15346;5555;3;;1247;4,5;5;5;0;0;2;2010;19/02/2010;
15347;535;3;;1247;1;5;5;0;0;2;2010;19/02/2010;
15348;5567;3;;1247;5,5;1;1;0;0;2;2010;19/02/2010;
15349;4179;3;;1247;13,5;2;2;0;0;2;2010;19/02/2010;
15350;5661;3;;1247;22;1;1;0;0;2;2010;19/02/2010;
15351;5551;3;;1247;1,4;30;30;0;0;2;2010;19/02/2010;
15352;5568;3;;1247;6;2;2;0;0;2;2010;19/02/2010;
15353;5572;3;;1247;0,5;11;11;0;0;2;2010;19/02/2010;
15354;5569;3;;1247;6;1;1;0;0;2;2010;19/02/2010;
15355;5570;3;;1247;15;1;1;0;0;2;2010;19/02/2010;
15356;5571;3;;1247;1,75;1;1;0;0;2;2010;19/02/2010;
15357;5546;3;1192;;4,5;10;0;10;-1;2;2010;19/02/2010;4
15358;5547;3;1192;;1;10;0;10;-1;2;2010;19/02/2010;4
15359;5555;3;1192;;4,5;5;0;5;-1;2;2010;19/02/2010;4
15360;535;3;1192;;1;5;0;5;-1;2;2010;19/02/2010;4
15361;5567;3;1192;;5,5;1;0;1;-1;2;2010;19/02/2010;4
15362;4179;3;1192;;13,5;2;0;2;-1;2;2010;19/02/2010;4
15363;5661;3;1192;;22;1;0;1;-1;2;2010;19/02/2010;4
15364;5551;3;1192;;1,4;30;0;30;-1;2;2010;19/02/2010;4
15365;5568;3;1192;;6;2;0;2;-1;2;2010;19/02/2010;4
15366;5572;3;1192;;0,5;11;0;11;-1;2;2010;19/02/2010;4
15367;5569;3;1192;;6;1;0;1;-1;2;2010;19/02/2010;4
15368;5570;3;1192;;15;1;0;1;-1;2;2010;19/02/2010;4
15369;5571;3;1192;;1,75;1;0;1;-1;2;2010;19/02/2010;4
15370;5582;3;;1248;5,99;4;4;0;0;2;2010;05/02/2010;
15371;5583;3;;1248;6,59;25;25;0;0;2;2010;05/02/2010;
15372;5459;3;;1248;0,55;25;25;0;0;2;2010;05/02/2010;
15373;5585;3;;1248;2,9;15;15;0;0;2;2010;05/02/2010;
15374;5586;3;;1248;7,7;25;25;0;0;2;2010;05/02/2010;
15375;5587;3;;1248;0,55;500;500;0;0;2;2010;05/02/2010;
15376;5588;3;;1248;1,1;25;25;0;0;2;2010;05/02/2010;
15377;5589;3;;1248;1,4;15;15;0;0;2;2010;05/02/2010;
15378;5590;3;;1248;1,5;5;5;0;0;2;2010;05/02/2010;
15379;5591;3;;1248;3,3;15;15;0;0;2;2010;05/02/2010;
15380;5592;3;;1248;2,1;5;5;0;0;2;2010;05/02/2010;
15381;5593;3;;1248;0,76;5;5;0;0;2;2010;05/02/2010;
15382;5594;3;;1248;2,12;5;5;0;0;2;2010;05/02/2010;
15383;5595;3;;1248;0,22;10;10;0;0;2;2010;05/02/2010;
15384;5582;3;1193;;5,99;4;0;4;-1;2;2010;05/02/2010;4
15385;5583;3;1193;;6,59;25;0;25;-1;2;2010;05/02/2010;4
15386;5459;3;1193;;0,55;25;0;25;-1;2;2010;05/02/2010;4
15387;5585;3;1193;;2,9;15;0;15;-1;2;2010;05/02/2010;4
15388;5586;3;1193;;7,7;25;0;25;-1;2;2010;05/02/2010;4
15389;5587;3;1193;;0,55;500;0;500;-1;2;2010;05/02/2010;4
15390;5588;3;1193;;1,1;25;0;25;-1;2;2010;05/02/2010;4
15391;5589;3;1193;;1,4;15;0;15;-1;2;2010;05/02/2010;4
15392;5590;3;1193;;1,5;5;0;5;-1;2;2010;05/02/2010;4
15393;5591;3;1193;;3,3;15;0;15;-1;2;2010;05/02/2010;4
15394;5592;3;1193;;2,1;5;0;5;-1;2;2010;05/02/2010;4
15395;5593;3;1193;;0,76;5;0;5;-1;2;2010;05/02/2010;4
15396;5594;3;1193;;2,12;5;0;5;-1;2;2010;05/02/2010;4
15397;5595;3;1193;;0,22;10;0;10;-1;2;2010;05/02/2010;4
15398;5276;3;;1249;11;10;10;0;0;2;2010;05/02/2010;
15399;5277;3;;1249;3,8;10;10;0;0;2;2010;05/02/2010;
15400;5598;3;;1249;3,9;1;1;0;0;2;2010;05/02/2010;
15401;5599;3;;1249;1,1;67;67;0;0;2;2010;05/02/2010;
15402;5600;3;;1249;1,1;50;50;0;0;2;2010;05/02/2010;
15403;5601;3;;1249;2,98;50;50;0;0;2;2010;05/02/2010;
15404;5602;3;;1249;0,63;250;250;0;0;2;2010;05/02/2010;
15405;5603;3;;1249;0,63;50;50;0;0;2;2010;05/02/2010;
15406;5604;3;;1249;0,7;250;250;0;0;2;2010;05/02/2010;
15407;5605;3;;1249;3,8;10;10;0;0;2;2010;05/02/2010;
15408;5606;3;;1249;0,2;400;400;0;0;2;2010;05/02/2010;
15409;5607;3;;1249;165;2;2;0;0;2;2010;05/02/2010;
15410;5608;3;;1249;1,45;50;50;0;0;2;2010;05/02/2010;
15411;5450;3;;1249;1,26;500;500;0;0;2;2010;05/02/2010;
15412;5610;3;;1249;1,5;5;5;0;0;2;2010;05/02/2010;
15413;5611;3;;1249;13;5;5;0;0;2;2010;05/02/2010;
15414;5612;3;;1249;14;15;15;0;0;2;2010;05/02/2010;
15415;5268;3;;1249;19;5;5;0;0;2;2010;05/02/2010;
15416;5614;3;;1249;2;150;150;0;0;2;2010;05/02/2010;
15417;5615;3;;1249;3,7;100;100;0;0;2;2010;05/02/2010;
15418;5616;3;;1249;0,7;250;250;0;0;2;2010;05/02/2010;
15419;5617;3;;1249;19;10;10;0;0;2;2010;05/02/2010;
15420;5618;3;;1249;0,58;150;150;0;0;2;2010;05/02/2010;
15421;5619;3;;1249;1,6;150;150;0;0;2;2010;05/02/2010;
15422;5620;3;;1249;21,2;7;7;0;0;2;2010;05/02/2010;
15423;5621;3;;1249;1,3;25;25;0;0;2;2010;05/02/2010;
15424;5622;3;;1249;1,6;25;25;0;0;2;2010;05/02/2010;
15425;5623;3;;1249;34;10;10;0;0;2;2010;05/02/2010;
15426;5624;3;;1249;18;5;5;0;0;2;2010;05/02/2010;
15427;5625;3;;1249;15;15;15;0;0;2;2010;05/02/2010;
15428;5626;3;;1249;1,15;10;10;0;0;2;2010;05/02/2010;
15429;5627;3;;1249;0,77;150;150;0;0;2;2010;05/02/2010;
15430;5628;3;;1249;1,1;150;150;0;0;2;2010;05/02/2010;
15431;5629;3;;1249;6,79;10;10;0;0;2;2010;05/02/2010;
15432;5630;3;;1249;0,43;50;50;0;0;2;2010;05/02/2010;
15433;5631;3;;1249;1;50;50;0;0;2;2010;05/02/2010;
15434;5632;3;;1249;4,6;10;10;0;0;2;2010;05/02/2010;
15435;5633;3;;1249;0,23;500;500;0;0;2;2010;05/02/2010;
15436;5634;3;;1249;0,38;250;250;0;0;2;2010;05/02/2010;
15437;5635;3;;1249;0,95;250;250;0;0;2;2010;05/02/2010;
15438;5636;3;;1249;0,9;500;500;0;0;2;2010;05/02/2010;
15439;5637;3;;1249;9;25;25;0;0;2;2010;05/02/2010;
15440;5638;3;;1249;1;10;10;0;0;2;2010;05/02/2010;
